"age","education","occupation","sex","native-country","class (income)"
47,"HS-grad","Exec-managerial","Female","United-States",">50K"
26,"Bachelors","Adm-clerical","Female","United-States","<=50K"
21,"Some-college","Other-service","Female","United-States","<=50K"
36,"HS-grad","Other-service","Male","United-States",">50K"
60,"10th","Machine-op-inspct","Male","United-States","<=50K"
28,"HS-grad","Prof-specialty","Male","United-States","<=50K"
19,"HS-grad","Adm-clerical","Female","United-States","<=50K"
42,"Bachelors","Prof-specialty","Male","United-States","<=50K"
36,"HS-grad","Machine-op-inspct","Female","United-States","<=50K"
35,"HS-grad","Other-service","Female","United-States","<=50K"
22,"Some-college","Adm-clerical","Female","United-States","<=50K"
54,"HS-grad","Craft-repair","Male","United-States",">50K"
36,"Bachelors","Prof-specialty","Male","United-States","<=50K"
55,"HS-grad","Transport-moving","Male","United-States","<=50K"
57,"Masters","Adm-clerical","Male","United-States","<=50K"
56,"7th-8th","Transport-moving","Male","United-States","<=50K"
24,"HS-grad","Exec-managerial","Male","United-States","<=50K"
35,"Bachelors","Prof-specialty","Male","United-States",">50K"
51,"11th","Sales","Male","United-States","<=50K"
34,"HS-grad","Exec-managerial","Male","United-States","<=50K"
36,"Assoc-acdm","Adm-clerical","Female","United-States","<=50K"
51,"9th","Other-service","Female","United-States","<=50K"
46,"Doctorate","Prof-specialty","Male","United-States",">50K"
42,"HS-grad","Exec-managerial","Female","United-States","<=50K"
25,"Bachelors","Prof-specialty","Female","United-States","<=50K"
22,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
37,"HS-grad","Craft-repair","Male","United-States","<=50K"
48,"Bachelors","Sales","Male","United-States",">50K"
61,"Bachelors","Prof-specialty","Male","United-States",">50K"
40,"12th","Transport-moving","Male","Jamaica","<=50K"
58,"HS-grad","Exec-managerial","Female","United-States",">50K"
52,"HS-grad","Farming-fishing","Male","Mexico","<=50K"
18,"11th","Other-service","Male","United-States","<=50K"
27,"10th","Machine-op-inspct","Male","United-States","<=50K"
48,"Some-college","Prof-specialty","Male","United-States","<=50K"
63,"9th","Craft-repair","Male","United-States","<=50K"
38,"HS-grad","Craft-repair","Male","United-States","<=50K"
31,"Some-college","Adm-clerical","Male","United-States","<=50K"
40,"Some-college","Prof-specialty","Male","United-States","<=50K"
41,"HS-grad","Exec-managerial","Male","United-States","<=50K"
28,"Bachelors","Prof-specialty","Female","United-States","<=50K"
31,"Prof-school","Prof-specialty","Male","United-States",">50K"
32,"Assoc-voc","Craft-repair","Male","United-States",">50K"
30,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
39,"HS-grad","Craft-repair","Male","United-States","<=50K"
28,"Bachelors","Sales","Male","United-States","<=50K"
31,"HS-grad","Handlers-cleaners","Female","United-States","<=50K"
44,"Masters","Prof-specialty","Male","United-States",">50K"
22,"Some-college","Farming-fishing","Male","United-States","<=50K"
36,"Assoc-acdm","Craft-repair","Male","United-States","<=50K"
39,"Masters","Exec-managerial","Male","United-States","<=50K"
61,"Some-college","Exec-managerial","Male","United-States","<=50K"
31,"HS-grad","Transport-moving","Male","United-States","<=50K"
21,"Some-college","Other-service","Female","Germany","<=50K"
39,"Some-college","Farming-fishing","Male","United-States","<=50K"
34,"HS-grad","Farming-fishing","Male","United-States","<=50K"
21,"Some-college","Other-service","Male","United-States","<=50K"
75,"Bachelors","Prof-specialty","Male","United-States",">50K"
21,"Some-college","Other-service","Male","United-States","<=50K"
81,"Some-college","Sales","Male","United-States","<=50K"
54,"HS-grad","Other-service","Male","Canada","<=50K"
34,"Bachelors","Prof-specialty","Male","Iran","<=50K"
54,"Prof-school","Prof-specialty","Male","Philippines",">50K"
41,"HS-grad","Other-service","Male","United-States","<=50K"
63,"HS-grad","Other-service","Male","United-States","<=50K"
24,"Some-college","Machine-op-inspct","Male","United-States","<=50K"
20,"HS-grad","Adm-clerical","Female","Mexico","<=50K"
44,"Bachelors","Prof-specialty","Female","United-States","<=50K"
47,"Bachelors","Sales","Male","United-States",">50K"
31,"Some-college","Craft-repair","Male","United-States","<=50K"
41,"7th-8th","Craft-repair","Male","United-States","<=50K"
53,"HS-grad","Craft-repair","Male","United-States","<=50K"
63,"HS-grad","Adm-clerical","Female","United-States","<=50K"
44,"Masters","Prof-specialty","Male","United-States",">50K"
37,"HS-grad","Craft-repair","Male","United-States",">50K"
28,"Some-college","Craft-repair","Male","Germany",">50K"
57,"HS-grad","Adm-clerical","Female","United-States","<=50K"
22,"Some-college","Farming-fishing","Male","United-States","<=50K"
33,"Bachelors","Adm-clerical","Male","United-States",">50K"
30,"Some-college","Adm-clerical","Female","United-States","<=50K"
20,"HS-grad","Craft-repair","Male","United-States","<=50K"
28,"Bachelors","Adm-clerical","Female","United-States","<=50K"
54,"11th","Priv-house-serv","Female","United-States","<=50K"
20,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
34,"HS-grad","Exec-managerial","Male","United-States","<=50K"
21,"Some-college","Adm-clerical","Male","United-States","<=50K"
29,"Some-college","Other-service","Female","United-States","<=50K"
51,"Some-college","Exec-managerial","Female","United-States","<=50K"
39,"HS-grad","Machine-op-inspct","Female","United-States","<=50K"
19,"Some-college","Adm-clerical","Female","United-States","<=50K"
22,"HS-grad","Farming-fishing","Male","United-States","<=50K"
59,"Some-college","Adm-clerical","Female","United-States","<=50K"
18,"11th","Sales","Male","United-States","<=50K"
22,"HS-grad","Other-service","Male","United-States","<=50K"
42,"Some-college","Craft-repair","Male","United-States",">50K"
39,"Assoc-acdm","Craft-repair","Male","United-States","<=50K"
31,"Bachelors","Sales","Male","United-States",">50K"
28,"11th","Craft-repair","Female","United-States","<=50K"
22,"Bachelors","Exec-managerial","Female","United-States","<=50K"
67,"Masters","Other-service","Female","United-States","<=50K"
17,"11th","Sales","Female","United-States","<=50K"
47,"Assoc-acdm","Adm-clerical","Male","United-States",">50K"
23,"Bachelors","Adm-clerical","Female","United-States","<=50K"
20,"HS-grad","Other-service","Female","Peru","<=50K"
22,"HS-grad","Sales","Female","Peru","<=50K"
47,"7th-8th","Transport-moving","Male","United-States","<=50K"
49,"Some-college","Sales","Female","United-States",">50K"
35,"Some-college","Exec-managerial","Female","United-States","<=50K"
52,"Some-college","Exec-managerial","Female","United-States","<=50K"
29,"HS-grad","Sales","Female","United-States","<=50K"
73,"10th","Sales","Female","Canada","<=50K"
38,"HS-grad","Prof-specialty","Male","United-States",">50K"
59,"HS-grad","Exec-managerial","Male","United-States",">50K"
35,"Some-college","Craft-repair","Male","United-States","<=50K"
18,"Some-college","Sales","Female","United-States","<=50K"
24,"HS-grad","Adm-clerical","Female","United-States","<=50K"
33,"Bachelors","Prof-specialty","Male","United-States","<=50K"
40,"Some-college","Exec-managerial","Female","United-States","<=50K"
55,"HS-grad","Adm-clerical","Female","United-States","<=50K"
44,"HS-grad","Prof-specialty","Male","United-States","<=50K"
40,"Bachelors","Prof-specialty","Female","United-States","<=50K"
22,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
55,"Some-college","Exec-managerial","Female","United-States",">50K"
45,"HS-grad","Tech-support","Female","United-States","<=50K"
47,"Bachelors","Prof-specialty","Female","United-States",">50K"
56,"HS-grad","Craft-repair","Male","United-States","<=50K"
44,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
32,"Some-college","Adm-clerical","Male","United-States","<=50K"
17,"10th","Other-service","Male","United-States","<=50K"
44,"Some-college","Exec-managerial","Male","United-States","<=50K"
32,"Assoc-acdm","Sales","Male","United-States","<=50K"
35,"Bachelors","Sales","Male","United-States",">50K"
27,"HS-grad","Other-service","Male","United-States","<=50K"
32,"HS-grad","Prof-specialty","Male","United-States","<=50K"
68,"11th","Transport-moving","Male","United-States","<=50K"
20,"Some-college","Other-service","Female","United-States","<=50K"
33,"Some-college","Adm-clerical","Female","United-States","<=50K"
24,"9th","Handlers-cleaners","Male","United-States","<=50K"
48,"HS-grad","Craft-repair","Male","United-States","<=50K"
45,"Masters","Prof-specialty","Female","United-States","<=50K"
48,"Some-college","Adm-clerical","Female","United-States","<=50K"
28,"Masters","Prof-specialty","Male","United-States",">50K"
39,"Masters","Prof-specialty","Female","United-States","<=50K"
23,"Some-college","Other-service","Male","United-States","<=50K"
23,"12th","Exec-managerial","Male","United-States","<=50K"
36,"Some-college","Adm-clerical","Female","United-States","<=50K"
25,"Bachelors","Prof-specialty","Female","United-States","<=50K"
52,"HS-grad","Other-service","Male","United-States","<=50K"
35,"HS-grad","Craft-repair","Male","United-States","<=50K"
41,"HS-grad","Exec-managerial","Male","United-States","<=50K"
45,"Bachelors","Sales","Female","United-States",">50K"
58,"Assoc-voc","Prof-specialty","Female","United-States","<=50K"
67,"HS-grad","Adm-clerical","Female","United-States","<=50K"
48,"HS-grad","Prof-specialty","Female","United-States","<=50K"
63,"HS-grad","Craft-repair","Male","United-States","<=50K"
24,"Some-college","Protective-serv","Male","United-States",">50K"
43,"Some-college","Craft-repair","Male","United-States",">50K"
36,"HS-grad","Transport-moving","Male","United-States","<=50K"
32,"HS-grad","Transport-moving","Male","Mexico","<=50K"
36,"Some-college","Craft-repair","Male","Laos","<=50K"
43,"Some-college","Adm-clerical","Female","United-States","<=50K"
27,"HS-grad","Adm-clerical","Female","United-States","<=50K"
17,"11th","Other-service","Male","United-States","<=50K"
45,"Bachelors","Sales","Female","United-States","<=50K"
41,"HS-grad","Craft-repair","Male","United-States","<=50K"
41,"HS-grad","Exec-managerial","Male","United-States","<=50K"
48,"Assoc-acdm","Adm-clerical","Female","United-States","<=50K"
26,"Some-college","Other-service","Female","United-States","<=50K"
54,"Preschool","Farming-fishing","Male","United-States","<=50K"
22,"Some-college","Sales","Female","Iran","<=50K"
19,"HS-grad","Transport-moving","Male","United-States","<=50K"
47,"7th-8th","Handlers-cleaners","Male","United-States","<=50K"
32,"HS-grad","Other-service","Female","United-States","<=50K"
46,"Bachelors","Exec-managerial","Male","United-States",">50K"
30,"Bachelors","Tech-support","Female","United-States",">50K"
35,"Masters","Exec-managerial","Male","United-States","<=50K"
52,"Assoc-voc","Tech-support","Male","United-States","<=50K"
73,"12th","Farming-fishing","Male","United-States","<=50K"
17,"10th","Other-service","Male","Canada","<=50K"
32,"Bachelors","Prof-specialty","Female","United-States","<=50K"
43,"Masters","Prof-specialty","Male","United-States",">50K"
26,"HS-grad","Machine-op-inspct","Female","Columbia","<=50K"
41,"Masters","Exec-managerial","Male","United-States",">50K"
49,"Assoc-acdm","Sales","Male","United-States",">50K"
52,"Some-college","Protective-serv","Male","United-States","<=50K"
35,"HS-grad","Adm-clerical","Female","United-States","<=50K"
57,"11th","Other-service","Male","United-States","<=50K"
35,"Assoc-voc","Prof-specialty","Female","United-States","<=50K"
33,"Bachelors","Prof-specialty","Male","United-States","<=50K"
56,"7th-8th","Transport-moving","Male","United-States","<=50K"
42,"Bachelors","Sales","Male","United-States","<=50K"
17,"Some-college","Adm-clerical","Male","United-States","<=50K"
49,"HS-grad","Adm-clerical","Female","United-States","<=50K"
39,"Prof-school","Prof-specialty","Male","United-States",">50K"
34,"Some-college","Adm-clerical","Female","United-States","<=50K"
37,"Some-college","Prof-specialty","Male","United-States","<=50K"
22,"12th","Other-service","Male","United-States","<=50K"
27,"Assoc-voc","Craft-repair","Male","Mexico","<=50K"
21,"Some-college","Sales","Female","United-States","<=50K"
44,"Bachelors","Adm-clerical","Male","United-States",">50K"
53,"10th","Transport-moving","Male","United-States","<=50K"
26,"11th","Craft-repair","Male","United-States","<=50K"
48,"Bachelors","Exec-managerial","Male","United-States",">50K"
39,"Bachelors","Exec-managerial","Male","United-States","<=50K"
34,"HS-grad","Other-service","Female","United-States","<=50K"
54,"Bachelors","Exec-managerial","Male","United-States","<=50K"
36,"HS-grad","Transport-moving","Male","United-States",">50K"
60,"HS-grad","Prof-specialty","Male","United-States","<=50K"
50,"HS-grad","Protective-serv","Male","United-States",">50K"
48,"Bachelors","Prof-specialty","Male","United-States","<=50K"
35,"Some-college","Adm-clerical","Female","United-States","<=50K"
40,"Assoc-acdm","Prof-specialty","Female","United-States","<=50K"
30,"Bachelors","Exec-managerial","Male","United-States","<=50K"
65,"Some-college","Machine-op-inspct","Male","United-States",">50K"
31,"HS-grad","Craft-repair","Male","United-States","<=50K"
46,"Assoc-acdm","Adm-clerical","Male","United-States","<=50K"
62,"Assoc-voc","Exec-managerial","Male","United-States","<=50K"
38,"Bachelors","Exec-managerial","Female","Cuba","<=50K"
24,"Bachelors","Other-service","Female","United-States","<=50K"
24,"Some-college","Sales","Female","Philippines","<=50K"
27,"Bachelors","Prof-specialty","Female","United-States","<=50K"
43,"Assoc-acdm","Other-service","Female","United-States","<=50K"
48,"HS-grad","Handlers-cleaners","Female","South","<=50K"
41,"HS-grad","Craft-repair","Male","United-States","<=50K"
30,"Some-college","Tech-support","Female","United-States","<=50K"
38,"Bachelors","Sales","Male","United-States",">50K"
45,"Prof-school","Prof-specialty","Male","United-States",">50K"
45,"Bachelors","Prof-specialty","Male","United-States","<=50K"
55,"Some-college","Adm-clerical","Female","United-States","<=50K"
46,"7th-8th","Exec-managerial","Male","Greece","<=50K"
24,"Bachelors","Prof-specialty","Male","United-States","<=50K"
31,"Some-college","Adm-clerical","Female","United-States","<=50K"
35,"HS-grad","Craft-repair","Male","United-States","<=50K"
37,"Some-college","Adm-clerical","Female","United-States","<=50K"
29,"Some-college","Prof-specialty","Male","United-States","<=50K"
56,"Bachelors","Exec-managerial","Male","United-States",">50K"
25,"Bachelors","Exec-managerial","Male","United-States","<=50K"
33,"10th","Machine-op-inspct","Male","United-States","<=50K"
44,"HS-grad","Sales","Female","United-States","<=50K"
21,"HS-grad","Craft-repair","Male","United-States","<=50K"
21,"HS-grad","Adm-clerical","Male","United-States","<=50K"
46,"Masters","Exec-managerial","Male","England",">50K"
44,"Some-college","Exec-managerial","Male","United-States",">50K"
63,"Bachelors","Exec-managerial","Female","United-States","<=50K"
44,"HS-grad","Adm-clerical","Female","United-States","<=50K"
31,"Some-college","Craft-repair","Male","Mexico","<=50K"
26,"Some-college","Exec-managerial","Male","United-States","<=50K"
37,"HS-grad","Transport-moving","Male","United-States","<=50K"
33,"Bachelors","Craft-repair","Male","United-States","<=50K"
38,"Bachelors","Exec-managerial","Male","United-States","<=50K"
26,"Assoc-voc","Sales","Female","United-States","<=50K"
46,"Assoc-voc","Exec-managerial","Female","Thailand","<=50K"
24,"HS-grad","Other-service","Female","United-States","<=50K"
47,"Masters","Prof-specialty","Male","United-States",">50K"
27,"Some-college","Tech-support","Female","United-States","<=50K"
46,"Some-college","Craft-repair","Male","United-States","<=50K"
47,"Assoc-acdm","Adm-clerical","Male","United-States",">50K"
47,"HS-grad","Adm-clerical","Male","Honduras","<=50K"
69,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
32,"HS-grad","Sales","Male","United-States",">50K"
51,"HS-grad","Transport-moving","Male","United-States","<=50K"
36,"HS-grad","Sales","Male","United-States",">50K"
50,"Masters","Prof-specialty","Female","United-States","<=50K"
29,"Doctorate","Prof-specialty","Male","India","<=50K"
32,"Prof-school","Prof-specialty","Male","United-States","<=50K"
27,"10th","Transport-moving","Male","United-States","<=50K"
60,"7th-8th","Adm-clerical","Female","Cuba","<=50K"
31,"HS-grad","Other-service","Male","United-States","<=50K"
46,"Assoc-acdm","Craft-repair","Male","United-States","<=50K"
40,"HS-grad","Adm-clerical","Female","United-States","<=50K"
39,"Some-college","Craft-repair","Male","United-States",">50K"
69,"7th-8th","Sales","Male","United-States","<=50K"
54,"Bachelors","Exec-managerial","Male","United-States",">50K"
56,"HS-grad","Adm-clerical","Female","United-States","<=50K"
47,"Some-college","Adm-clerical","Female","United-States","<=50K"
25,"Assoc-acdm","Tech-support","Female","United-States","<=50K"
34,"HS-grad","Transport-moving","Male","United-States","<=50K"
24,"7th-8th","Farming-fishing","Male","United-States","<=50K"
63,"Some-college","Craft-repair","Male","United-States","<=50K"
29,"Masters","Prof-specialty","Male","United-States","<=50K"
64,"Some-college","Adm-clerical","Male","United-States","<=50K"
44,"Bachelors","Prof-specialty","Male","United-States","<=50K"
26,"HS-grad","Craft-repair","Male","United-States","<=50K"
36,"10th","Other-service","Female","United-States","<=50K"
55,"Bachelors","Adm-clerical","Male","United-States",">50K"
37,"HS-grad","Handlers-cleaners","Female","United-States",">50K"
37,"10th","Machine-op-inspct","Male","United-States","<=50K"
63,"Bachelors","Prof-specialty","Female","United-States",">50K"
33,"HS-grad","Transport-moving","Male","United-States","<=50K"
19,"Some-college","Adm-clerical","Female","United-States","<=50K"
57,"Masters","Prof-specialty","Female","United-States",">50K"
31,"Assoc-acdm","Sales","Male","United-States",">50K"
58,"HS-grad","Exec-managerial","Male","United-States",">50K"
25,"Some-college","Sales","Male","United-States","<=50K"
40,"HS-grad","Adm-clerical","Female","United-States","<=50K"
18,"11th","Other-service","Male","United-States","<=50K"
26,"HS-grad","Adm-clerical","Male","United-States","<=50K"
29,"Doctorate","Prof-specialty","Male","United-States",">50K"
45,"Bachelors","Prof-specialty","Male","United-States","<=50K"
35,"Some-college","Adm-clerical","Female","United-States","<=50K"
32,"Some-college","Machine-op-inspct","Male","United-States","<=50K"
61,"HS-grad","Other-service","Female","United-States","<=50K"
26,"Bachelors","Prof-specialty","Male","United-States","<=50K"
56,"HS-grad","Craft-repair","Male","United-States",">50K"
22,"Some-college","Adm-clerical","Female","United-States","<=50K"
49,"Bachelors","Machine-op-inspct","Male","United-States","<=50K"
40,"HS-grad","Other-service","Female","United-States","<=50K"
37,"HS-grad","Exec-managerial","Male","United-States","<=50K"
28,"Bachelors","Sales","Male","United-States",">50K"
27,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
34,"Assoc-voc","Sales","Female","United-States","<=50K"
49,"9th","Handlers-cleaners","Male","United-States","<=50K"
41,"Some-college","Craft-repair","Male","United-States","<=50K"
28,"Bachelors","Adm-clerical","Male","United-States","<=50K"
38,"Some-college","Exec-managerial","Male","United-States",">50K"
47,"Assoc-acdm","Protective-serv","Male","United-States","<=50K"
28,"HS-grad","Protective-serv","Male","United-States","<=50K"
44,"Masters","Prof-specialty","Male","United-States",">50K"
41,"Bachelors","Prof-specialty","Male","United-States","<=50K"
50,"Prof-school","Prof-specialty","Male","United-States",">50K"
73,"HS-grad","Craft-repair","Male","United-States","<=50K"
21,"Some-college","Other-service","Male","Outlying-US(Guam-USVI-etc)","<=50K"
38,"HS-grad","Adm-clerical","Female","United-States","<=50K"
47,"Some-college","Tech-support","Female","United-States","<=50K"
52,"Some-college","Transport-moving","Male","Canada",">50K"
24,"Bachelors","Sales","Male","United-States","<=50K"
44,"Bachelors","Exec-managerial","Male","United-States",">50K"
27,"7th-8th","Machine-op-inspct","Male","United-States","<=50K"
61,"Some-college","Sales","Male","United-States",">50K"
58,"Bachelors","Sales","Male","United-States",">50K"
51,"Bachelors","Sales","Female","United-States",">50K"
49,"Some-college","Sales","Female","England","<=50K"
23,"Some-college","Adm-clerical","Male","United-States","<=50K"
19,"Assoc-voc","Adm-clerical","Female","United-States","<=50K"
21,"HS-grad","Farming-fishing","Male","United-States","<=50K"
56,"11th","Sales","Female","United-States","<=50K"
35,"12th","Craft-repair","Male","United-States","<=50K"
37,"Some-college","Tech-support","Female","United-States","<=50K"
41,"Doctorate","Sales","Female","United-States",">50K"
30,"11th","Sales","Male","United-States","<=50K"
47,"Some-college","Craft-repair","Male","United-States","<=50K"
59,"10th","Exec-managerial","Female","United-States",">50K"
55,"11th","Machine-op-inspct","Male","United-States","<=50K"
31,"10th","Adm-clerical","Female","United-States","<=50K"
30,"Masters","Adm-clerical","Male","United-States",">50K"
24,"Bachelors","Exec-managerial","Male","United-States","<=50K"
49,"Some-college","Craft-repair","Male","United-States","<=50K"
23,"7th-8th","Craft-repair","Male","Germany","<=50K"
50,"HS-grad","Adm-clerical","Female","United-States","<=50K"
38,"Bachelors","Adm-clerical","Male","United-States","<=50K"
20,"Some-college","Prof-specialty","Female","South","<=50K"
49,"Some-college","Craft-repair","Male","United-States",">50K"
45,"HS-grad","Other-service","Female","South","<=50K"
46,"Bachelors","Prof-specialty","Male","United-States",">50K"
19,"HS-grad","Other-service","Female","United-States","<=50K"
31,"Bachelors","Exec-managerial","Female","Cuba","<=50K"
38,"HS-grad","Other-service","Female","United-States","<=50K"
56,"Masters","Craft-repair","Male","United-States",">50K"
24,"Bachelors","Exec-managerial","Male","United-States","<=50K"
58,"HS-grad","Exec-managerial","Male","United-States","<=50K"
28,"HS-grad","Other-service","Male","United-States","<=50K"
22,"HS-grad","Other-service","Male","United-States","<=50K"
46,"HS-grad","Transport-moving","Male","United-States","<=50K"
30,"Preschool","Farming-fishing","Male","Mexico","<=50K"
56,"Bachelors","Adm-clerical","Male","United-States",">50K"
56,"HS-grad","Transport-moving","Male","United-States",">50K"
50,"Some-college","Exec-managerial","Male","United-States","<=50K"
30,"Bachelors","Adm-clerical","Female","United-States","<=50K"
24,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
42,"Assoc-voc","Prof-specialty","Female","United-States","<=50K"
31,"HS-grad","Craft-repair","Male","United-States",">50K"
46,"10th","Other-service","Female","Ecuador","<=50K"
31,"Bachelors","Sales","Female","United-States",">50K"
38,"Bachelors","Prof-specialty","Female","United-States",">50K"
44,"Masters","Prof-specialty","Male","United-States",">50K"
55,"Bachelors","Exec-managerial","Male","United-States",">50K"
19,"HS-grad","Other-service","Male","United-States","<=50K"
45,"Masters","Exec-managerial","Female","United-States",">50K"
50,"Some-college","Craft-repair","Male","United-States","<=50K"
53,"9th","Other-service","Male","Dominican-Republic","<=50K"
41,"Bachelors","Sales","Male","United-States",">50K"
45,"Some-college","Other-service","Female","United-States","<=50K"
21,"10th","Adm-clerical","Female","United-States","<=50K"
37,"Bachelors","Tech-support","Female","United-States",">50K"
42,"HS-grad","Adm-clerical","Female","United-States","<=50K"
37,"HS-grad","Tech-support","Male","United-States","<=50K"
45,"Assoc-voc","Farming-fishing","Male","United-States","<=50K"
32,"Some-college","Tech-support","Female","United-States","<=50K"
30,"Prof-school","Prof-specialty","Male","United-States","<=50K"
37,"HS-grad","Machine-op-inspct","Female","United-States","<=50K"
32,"Some-college","Sales","Male","United-States",">50K"
43,"Bachelors","Prof-specialty","Male","United-States",">50K"
46,"Masters","Prof-specialty","Female","United-States","<=50K"
33,"Masters","Exec-managerial","Female","United-States","<=50K"
48,"HS-grad","Adm-clerical","Female","United-States","<=50K"
34,"HS-grad","Sales","Female","United-States","<=50K"
34,"Some-college","Protective-serv","Male","United-States",">50K"
33,"HS-grad","Farming-fishing","Male","United-States","<=50K"
36,"Bachelors","Exec-managerial","Female","Germany","<=50K"
23,"HS-grad","Sales","Male","United-States","<=50K"
39,"HS-grad","Exec-managerial","Male","United-States","<=50K"
22,"Assoc-acdm","Sales","Female","United-States","<=50K"
19,"HS-grad","Farming-fishing","Male","United-States","<=50K"
47,"HS-grad","Sales","Male","United-States",">50K"
46,"Assoc-voc","Transport-moving","Male","United-States","<=50K"
47,"Masters","Sales","Female","United-States","<=50K"
47,"Doctorate","Prof-specialty","Male","United-States",">50K"
52,"Some-college","Transport-moving","Female","United-States","<=50K"
38,"9th","Craft-repair","Male","Mexico","<=50K"
58,"HS-grad","Sales","Male","United-States",">50K"
32,"5th-6th","Other-service","Male","Mexico","<=50K"
54,"Assoc-voc","Tech-support","Female","United-States","<=50K"
20,"Some-college","Adm-clerical","Male","United-States","<=50K"
25,"Assoc-acdm","Sales","Male","United-States","<=50K"
25,"9th","Craft-repair","Male","United-States","<=50K"
36,"Bachelors","Prof-specialty","Male","United-States","<=50K"
69,"HS-grad","Tech-support","Male","United-States","<=50K"
28,"Bachelors","Prof-specialty","Female","United-States",">50K"
20,"Some-college","Adm-clerical","Female","United-States","<=50K"
21,"7th-8th","Farming-fishing","Male","United-States","<=50K"
37,"Bachelors","Tech-support","Male","United-States",">50K"
21,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
39,"HS-grad","Other-service","Female","United-States","<=50K"
34,"Assoc-voc","Other-service","Male","United-States",">50K"
33,"HS-grad","Craft-repair","Male","United-States","<=50K"
47,"HS-grad","Transport-moving","Male","United-States",">50K"
29,"Assoc-voc","Adm-clerical","Female","United-States","<=50K"
48,"HS-grad","Tech-support","Male","United-States","<=50K"
42,"Doctorate","Prof-specialty","Male","United-States",">50K"
29,"11th","Machine-op-inspct","Female","United-States","<=50K"
34,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
20,"Some-college","Other-service","Male","United-States","<=50K"
41,"Masters","Prof-specialty","Male","United-States",">50K"
45,"Some-college","Exec-managerial","Male","United-States","<=50K"
23,"HS-grad","Handlers-cleaners","Male","United-States","<=50K"
19,"Some-college","Adm-clerical","Female","United-States","<=50K"
24,"Some-college","Craft-repair","Male","United-States","<=50K"
32,"HS-grad","Craft-repair","Male","United-States","<=50K"
52,"Masters","Prof-specialty","Male","United-States",">50K"
36,"HS-grad","Sales","Male","United-States",">50K"
18,"10th","Machine-op-inspct","Male","United-States","<=50K"
27,"HS-grad","Sales","Female","United-States","<=50K"
26,"Some-college","Sales","Male","United-States","<=50K"
52,"Assoc-acdm","Prof-specialty","Female","United-States","<=50K"
24,"Some-college","Craft-repair","Male","Mexico","<=50K"
42,"HS-grad","Adm-clerical","Male","United-States","<=50K"
39,"Prof-school","Prof-specialty","Female","United-States",">50K"
20,"Some-college","Adm-clerical","Female","United-States","<=50K"
35,"HS-grad","Machine-op-inspct","Female","United-States","<=50K"
54,"Bachelors","Other-service","Male","United-States","<=50K"
24,"Bachelors","Exec-managerial","Male","United-States","<=50K"
24,"Bachelors","Prof-specialty","Female","United-States","<=50K"
20,"Some-college","Adm-clerical","Female","United-States","<=50K"
28,"Bachelors","Prof-specialty","Female","United-States","<=50K"
36,"HS-grad","Craft-repair","Male","United-States","<=50K"
38,"Some-college","Machine-op-inspct","Male","United-States",">50K"
22,"HS-grad","Adm-clerical","Female","United-States","<=50K"
56,"HS-grad","Machine-op-inspct","Male","United-States","<=50K"
24,"Bachelors","Prof-specialty","Male","United-States","<=50K"
24,"Some-college","Other-service","Female","United-States","<=50K"
22,"Assoc-acdm","Adm-clerical","Female","United-States","<=50K"
21,"Some-college","Exec-managerial","Female","United-States","<=50K"
42,"Bachelors","Exec-managerial","Male","United-States",">50K"
41,"Masters","Prof-specialty","Female","United-States","<=50K"
19,"HS-grad","Other-service","Female","United-States","<=50K"
67,"Some-college","Farming-fishing","Male","United-States","<=50K"
20,"Some-college","Sales","Female","United-States","<=50K"
32,"HS-grad","Craft-repair","Male","United-States","<=50K"
46,"HS-grad","Machine-op-inspct","Female","United-States","<=50K"
52,"HS-grad","Sales","Female","United-States","<=50K"
44,"Bachelors","Prof-specialty","Male","United-States","<=50K"
37,"Bachelors","Prof-specialty","Male","United-States",">50K"
27,"Some-college","Farming-fishing","Male","United-States","<=50K"
35,"HS-grad","Machine-op-inspct","Female","United-States","<=50K"
30,"HS-grad","Adm-clerical","Female","United-States","<=50K"
64,"HS-grad","Craft-repair","Male","United-States","<=50K"
48,"HS-grad","Adm-clerical","Female","United-States",">50K"
35,"7th-8th","Tech-support","Female","United-States","<=50K"
28,"Bachelors","Tech-support","Male","United-States","<=50K"
63,"Bachelors","Prof-specialty","Male","China",">50K"
40,"Prof-school","Prof-specialty","Male","United-States",">50K"
33,"Some-college","Sales","Male","United-States","<=50K"
40,"Some-college","Craft-repair","Male","United-States",">50K"
25,"7th-8th","Sales","Male","Guatemala","<=50K"
45,"Bachelors","Exec-managerial","Male","United-States",">50K"
30,"Some-college","Machine-op-inspct","Male","United-States",">50K"
53,"Some-college","Adm-clerical","Female","United-States","<=50K"
63,"HS-grad","Adm-clerical","Male","Vietnam","<=50K"
27,"Some-college","Protective-serv","Male","United-States","<=50K"
